,date,weekday,holiday
75,15/11/29,quinta-feira,Proclamação da República
76,20/11/29,terça-feira,Dia Nacional de Zumbi e da Consciência Negra
77,25/12/29,terça-feira,Natal
78,1/1/30,terça-feira,Confraternização Universal
79,4/3/30,segunda-feira,Carnaval
80,5/3/30,terça-feira,Carnaval
81,19/4/30,sexta-feira,Paixão de Cristo
82,21/4/30,domingo,Tiradentes
83,1/5/30,quarta-feira,Dia do Trabalho
84,20/6/30,quinta-feira,Corpus Christi
85,7/9/30,sábado,Independência do Brasil
86,12/10/30,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
87,2/11/30,sábado,Finados
88,15/11/30,sexta-feira,Proclamação da República
89,20/11/30,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
90,25/12/30,quarta-feira,Natal
91,1/1/31,quarta-feira,Confraternização Universal
92,24/2/31,segunda-feira,Carnaval
93,25/2/31,terça-feira,Carnaval
94,11/4/31,sexta-feira,Paixão de Cristo
95,21/4/31,segunda-feira,Tiradentes
96,1/5/31,quinta-feira,Dia do Trabalho
97,12/6/31,quinta-feira,Corpus Christi
98,7/9/31,domingo,Independência do Brasil
99,12/10/31,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
100,2/11/31,domingo,Finados
101,15/11/31,sábado,Proclamação da República
102,20/11/31,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
103,25/12/31,quinta-feira,Natal
104,1/1/32,quinta-feira,Confraternização Universal
105,9/2/32,segunda-feira,Carnaval
106,10/2/32,terça-feira,Carnaval
107,26/3/32,sexta-feira,Paixão de Cristo
108,21/4/32,quarta-feira,Tiradentes
109,1/5/32,sábado,Dia do Trabalho
110,27/5/32,quinta-feira,Corpus Christi
111,7/9/32,terça-feira,Independência do Brasil
112,12/10/32,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
113,2/11/32,terça-feira,Finados
114,15/11/32,segunda-feira,Proclamação da República
115,20/11/32,sábado,Dia Nacional de Zumbi e da Consciência Negra
116,25/12/32,sábado,Natal
117,1/1/33,sábado,Confraternização Universal
118,28/2/33,segunda-feira,Carnaval
119,1/3/33,terça-feira,Carnaval
120,15/4/33,sexta-feira,Paixão de Cristo
121,21/4/33,quinta-feira,Tiradentes
122,1/5/33,domingo,Dia do Trabalho
